"","plots","block","spray","harvest_time"
"1","0101","1","UTC","10AM"
"2","0102","1","UTC","3PM"
"3","0103","1","UTC","pre_dawn"
"4","0104","1","ABA_1500","pre_dawn"
"5","0105","1","ABA_1500","3PM"
"6","0106","1","ABA_1500","10AM"
"7","0201","2","ABA_1500","10AM"
"8","0202","2","UTC","3PM"
"9","0203","2","ABA_1500","3PM"
"10","0204","2","UTC","10AM"
"11","0205","2","UTC","pre_dawn"
"12","0206","2","ABA_1500","pre_dawn"
"13","0301","3","UTC","10AM"
"14","0302","3","ABA_1500","pre_dawn"
"15","0303","3","ABA_1500","10AM"
"16","0304","3","UTC","pre_dawn"
"17","0305","3","UTC","3PM"
"18","0306","3","ABA_1500","3PM"
"19","0401","4","UTC","10AM"
"20","0402","4","ABA_1500","pre_dawn"
"21","0403","4","ABA_1500","10AM"
"22","0404","4","UTC","pre_dawn"
"23","0405","4","UTC","3PM"
"24","0406","4","ABA_1500","3PM"
"25","0501","5","UTC","10AM"
"26","0502","5","ABA_1500","pre_dawn"
"27","0503","5","ABA_1500","3PM"
"28","0504","5","UTC","3PM"
"29","0505","5","UTC","pre_dawn"
"30","0506","5","ABA_1500","10AM"
"31","0601","6","UTC","pre_dawn"
"32","0602","6","ABA_1500","3PM"
"33","0603","6","UTC","10AM"
"34","0604","6","ABA_1500","pre_dawn"
"35","0605","6","UTC","3PM"
"36","0606","6","ABA_1500","10AM"
"37","0701","7","UTC","3PM"
"38","0702","7","UTC","10AM"
"39","0703","7","UTC","pre_dawn"
"40","0704","7","ABA_1500","3PM"
"41","0705","7","ABA_1500","pre_dawn"
"42","0706","7","ABA_1500","10AM"
"43","0801","8","ABA_1500","pre_dawn"
"44","0802","8","ABA_1500","10AM"
"45","0803","8","UTC","3PM"
"46","0804","8","UTC","10AM"
"47","0805","8","ABA_1500","3PM"
"48","0806","8","UTC","pre_dawn"
"49","0901","9","UTC","pre_dawn"
"50","0902","9","ABA_1500","3PM"
"51","0903","9","ABA_1500","10AM"
"52","0904","9","ABA_1500","pre_dawn"
"53","0905","9","UTC","10AM"
"54","0906","9","UTC","3PM"
"55","1001","10","ABA_1500","10AM"
"56","1002","10","ABA_1500","3PM"
"57","1003","10","UTC","10AM"
"58","1004","10","UTC","pre_dawn"
"59","1005","10","ABA_1500","pre_dawn"
"60","1006","10","UTC","3PM"
